disorder;gene_symb
Meckel syndrome;MKS1, MKS, BBS13, NPHP3, NPH3, RHPD1, MKS7, TMEM216, JBTS2, CORS2, MKS2, TMEM67, MKS3, JBTS6, NPHP11, CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14, RPGRIP1L, KIAA1005, JBTS7, MKS5, CC2D2A, KIAA1345, MKS6, TCTN2, TECT2, MKS8, B9D2, MKS10, B9D1, MKSR1, MKS9, TMEM231, JBTS20, MKS11
Meier-Gorlin syndrome;ORC1, ORC1L, ORC4, ORC4L, ORC6, ORC6L, CDT1, CDC6, CDC18L
Menkes disease;ATP7A, MNK, MK, OHS, SMAX3
Moyamoya disease;ACTA2, ACTSA, AAT6, MYMY5, GUCY1A3, GUC1A3, GUCSA3, MYMY6
Muir-Torre syndrome;MLH1, COCA2, HNPCC2, MSH2, COCA1, FCC1, HNPCC1
N syndrome;POLA1
Nager syndrome;SF3B4, SF3B49, SAP49, AFD1
Netherton syndrome;SPINK5, LEKTI
Niemann-Pick disease;SMPD1, NPD, NPC1, NPC, SMPD1, NPD, NPC2, HE1
Nijmegen breakage syndrome;NBS1, NBS
Noonan syndrome;PTPN11, PTP2C, SHP2, NS1, KRAS, KRAS2, RASK2, NS, CFC2, SOS1, GINGF, GF1, HGF, NS4, RAF1, CRAF, NS5, CMD1NN, NRAS, ALPS4, NS6, CMNS, NCMS, BRAF, NS7
Norum disease;LCAT
Ogden syndrome;NAA10, ARD1A, ARD1, TE2, NATD, MCOPS1
Ohdo syndrome;MED12, TNRC11, TRAP230, HOPA, KIAA0192, OKS, FGS1, OHDOX
Ohtahara syndrome;PCDH19, KIAA1313, EFMR, EIEE9, ARHGEF9, PEM2, KIAA0424, EIEE8, CDKL5, STK9, ISSX, EIEE2, ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32, SLC25A22, GC1, EIEE3, STXBP1, UNC18, EIEE4, PNKP, PNK, MCSZ, EIEE10, MCSZ, SPTAN1, NEAS, EIEE5, KCNQ2, EBN1, EIEE7, BFNS1, SCN2A, SCN2A1, BFIC3, EIEE11, BFIS3, BFNIS, PLCB1, KIAA0581, PLCB1A, PLCB1B, EIEE12, SCN8A, CIAT, EIEE13, KCNT1, KIAA1422, EIEE14, ENFL5, ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15, TBC1D24, KIAA1171, FIME, EIEE16, DOORS, DFNB86, DFNA65, GNAO1, EIEE17, SZT2, KIAA0467, EIEE18
Opitz-GBBB syndrome;MID1, OGS1, BBBG1, FXY, OSX
PHGDH deficiency;PHGDH, NLS1, PHGDHD
PSAT deficiency;PSAT1, PSAT, EPIP, PSATD, NLS2
PSPH deficiency;PSPH, PSP, PSPHD
Paget's disease of bone;PDB4, SQSTM1, P62, PDB3, TNFRSF11A, RANK, ODFR, OFE, OPTB7
Pallister-Hall syndrome;GLI3, PAPA, PAPB
Papillon-Lefevre disease;CTSC, CPPI, PALS, PLS, HMS, PDON1, JPD
Parkinson's disease;ADH1C, ADH3, GBA, MAPT, MTBT1, DDPAC, MSTD, TBP, SCA17, HDL4, SNCA, NACP, PARK1, PARK4, FBXO7, FBX7, FBX, PKPS, PARK15, PRKN, PARK2, PDJ, LPRS2, SNCA, NACP, PARK1, PARK4, PINK1, PARK6, DJ1, PARK7, ATP13A2, PARK9, KRPPD, CLN12, LRRK2, PARK8, GIGYF2, KIAA0642, PARK11, HTRA2, OMI, PARK13, PRSS25, PLA2G6, IPLA2, INAD1, NBIA2B, NBIA2A, PARK14, VPS35, MEM3, PARK17, EIF4G1, EIF4G, PARK18, DNAJC6, DJC6, KIAA0473, PARK19, SYNJ1, PARK20
Partington syndrome;ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32
Pelger-Huet anomaly;LBR, PHA
Pelizaeus-Merzbacher disease;PLP1, PMD, HLD1, SPG2
Perrault syndrome;HSD17B4, PRLTS1, CLPP, PRLTS3, DFNB81, HARS2, HARSL, HARSR, HO3, PRLTS2, LARS2, PRLTS4
Peutz-Jeghers syndrome;STK11, PJS, LKB1
Pfeiffer syndrome;FGFR1, FLT2, OGD, KAL2, HH2, HRTFDS, FGFR2, BEK, CFD1, JWS, TK14, BBDS
Pick's disease;MAPT, MTBT1, DDPAC, MSTD, PSEN1, AD3
Prader-Willi syndrome;NDN, SNRPN
Proteus syndrome;AKT1, CWS6
Refsum disease;PHYH, PAHX, PEX12, PBD3A
Renpenning syndrome;PQBP1, NPW38, SHS, MRX55, MRXS3, RENS1, MRXS8
Rett syndrome;MECP2, RTT, PPMX, MRX16, MRX79, AUTSX3, MRXSL, MRXS13, MRX79, MRX16, FOXG1, FOXG1B, FKHL1, FKH2, QIN, BF1
Rh deficiency syndrome;RHAG, RH50A
Riley-Day syndrome;IKBKAP, IKAP
Roberts syndrome;ESCO2
Robinow syndrome;WNT5A, FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B
Rothmund-Thomson syndrome;RECQL4, RTS, RECQ4
Rubinstein-Taybi syndrome;CREBBP, CBP, RSTS, EP300, RSTS2
SC phocomelia syndrome;ESCO2
Saethre-Chotzen syndrome;FGFR2, BEK, CFD1, JWS, TK14, BBDS, TWIST1, ACS3, SCS, CRS1
Sandhoff disease;HEXB
Scheie syndrome;IDUA, IDA
