disorder;gene_symb
pyruvate carboxylase deficiency disease;PC
pyruvate decarboxylase deficiency;DLAT, PDCE2, PDX1, PDHA1, PHE1A, PDHAD, PDP1, PPM2C, PDP1, PDPC, PDHB, PDHBD
rapadilino syndrome;RECQL4, RTS, RECQ4
red-green color blindness;OPN1MW, GCP, CBD, CBBM
renal agenesis;ITGA8, RHDA1, PAX2, PAPRS, FSGS7, RET, MEN2A, HSCR1
renal cell carcinoma;TFE3, RCCX1
renal glycosuria;SLC5A2, SGLT2
renal tubular acidosis;ATP6V0A4, ATP6N1B, VPP2, RTA1C, RTADR
renal-hepatic-pancreatic dysplasia;NPHP3, NPH3, RHPD1, MKS7, NEK8, JCK, NPHP9, RHPD2
restrictive cardiomyopathy;TNNI3, CMH7, CMD2A, RCM1, CMD1FF, TNNT2, CMH2, CMD1D, RCM3, LVNC6
reticular dysgenesis;AK2
reticulate acropigmentation of Kitamura;ADAM10, MADM, RAK, AD18
retinal drusen;HF1, CFH, HUS, ARMD4, AHUS1
retinitis pigmentosa;CRX, CORD2, CRD, LCA7, RP1, ORP1, RP9, PAP1, IMPDH1, RP10, LCA11, RPGR, RP3, CRD, RP15, COD1, CORDX1, OFD1, CXorf5, SGBS2, JBTS10, RP23, RP2, PRPF8, PRPC8, RP13, CRB1, RP12, LCA8, TULP1, RP14, LCA15, PRPF31, PRP31, RP11, CA4, RP17, HPRP3, RP18, ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2, EYS, RP25, FAM161A, RP28, FSCN2, RFSN, RP30, PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1, ROM1, ROSP1, RP7, CERKL, RP26, TOPORS, P53BP3, LUN, RP31, SEMA4A, SEMB, RP35, CORD10, SNRNP200, ASCC3L1, KIAA0788, RP33, PRCD, RP36, NR2E3, PNR, ESCS, RP37, PROM1, PROML1, AC133, RP41, CORD12, CD133, MCDR2, STGD4, IDH3B, RP46, RDH12, LCA13, KLHL7, RP42, BEST1, VMD2, ARB, RP50, C2orf71, TTC8, BBS8, RP51, ARL6, BBS3, RP55, IMPG2, IPM200, RP56, VMD5, PDE6G, PDEG, RP57, ZNF513, RP58, RHO, RP4, OPN2, CSNBAD1, NRL, D14S46E, RP27, CNGA1, CNCG1, RP49, SAG, RP47, CNGB1, CNCG3L, CNCG2, RP45, RGR, RP44, RPE65, RP20, LCA2, PDE6B, PDEB, RP40, CSNBAD2, PDE6A, PDEA, RP43, GUCA1B, GCAP2, GUCA2, RP48, DHDDS, HDS, RP59, MERTK, RP38, PRPF6, PRP6, ANT1, TOM, C20orf14, CLRN1, USH3A, USH3, RP61, MAK, RP62, RBP3, RP66, ARL2BP, BART, NEK2, RP67, SLC7A14, KIAA1613, RP68, KIZ, KIZUNA, C20orf19, RP69, PRPF4, PRP4, HPRP4, RP70
retinoblastoma;RB1
rheumatoid arthritis;CD244, NAIL, NKR2B4, SLAMF4, HLA-DRB1, SS1, IL10, CSIF, GVHDS, MHC2TA, C2TA, NFKBIL1, PADI4, PADI5, PAD, PTPN22, PEP, PTPN8, LYP, SLC22A4, OCTN1
rhizomelic chondrodysplasia punctata;PEX7, RCDP1, PBD9B, GNPAT, DHAPAT, AGPS, ADHAPS
rickets;CYP27B1, VDD1, PDDR, VDR, CYP2R1
rippling muscle disease;CAV3, LGMD1C, LQT9
sarcoidosis;HLA-DRB1, SS1, NOD2, CARD15, IBD1, CD, ACUG, PSORAS1
scapuloperoneal myopathy;MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD, FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B
schizophrenia;AKT1, CWS6, APOL2, APOL4, CHI3L1, GP39, YKL40, ASRT7, COMT, DAO, DAMOX, DAOA, G72, DISC1, SCZD9, DISC2, DRD3, ETM1, FET1, DTNBP1, HPS7, HTR2A, MTHFR, RTN4R, NOGOR, SCZD11, SCZD12, SCZD1, SCZD2, SCZD3, SCZD5, SCZD6, SCZD7, SCZD8, SYN2, PRODH, PRODH2, SCZD4, SHANK3, PSAP2, PROSAP2, KIAA1650, DEL22q13.3, SCZD15
schneckenbecken dysplasia;SLC35D1, UGTREL7, KIAA0260
sclerosteosis;SOST, VBCH, CDD, SOST1, LRP4, MEGF7, CLSS, SOST2
sea-blue histiocyte syndrome;APOE, AD2, LPG, LDLCQ5
seborrheic keratosis;PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5
seminoma;BCL10, IMD37, FGFR3, ACH, KIT, PBT, STK11, PJS, LKB1
sensorineural hearing loss;POU3F4, DFN3, DFNX2
severe congenital neutropenia;ELANE, ELA2, SCN1, WAS, IMD2, THC1, SCNX, HAX1, SCN3, G6PC3, UGRP, SCN4, GFI1, ZNF163, SCN2, VPS45A, VPS45, SCN5
short QT syndrome;KCNH2, LQT2, HERG, SQT1, KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2, KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9
sialuria;GNE, GLCNE, IBM2, DMRV, NM, SLC17A5, SIASD, SLD
sick sinus syndrome;HCN4, SSS2, SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2
sickle cell anemia;HBB
situs inversus;NODAL, HTX5
skin melanoma;PTEN, MMAC1, GLM2, CWS1, CDK4, CMM3, MITF, WS2A, CMM8
soldiers heart;SLC6A2, NAT1, NET1
spastic quadriplegia;GAD1, SCP, CPSQ1, KANK1, KANK, ANKRD15, KIAA0172, CPSQ2
specific language impairment;TM4SF20, SLI5
spinocerebellar ataxia;BEAN, SCA31, ATXN1, ATX1, SCA1, CACNA1A, CACNL1A4, SCA6, ATXN10, SCA10, PPP2R2B, TTBK2, SCA11, KCNC3, SCA13, PRKCG, PKCC, PKCG, SCA14, SETX, SCAR1, AOA2, ALS4, ITPR1, SCA15, SCA16, SCA29, ZNF592, KIAA0211, SCAR5, CAMOS, TBP, SCA17, HDL4, TDP1, ATXN8, ATXN8OS, SCA8, KLHL1AS, FGF14, FHF4, SCA27, PDYN, SCA23, AFG3L2, SCA28, SPAX5, SYNE1, KIAA0796, KIAA1756, KIAA1262, SCAR8, EDMD4, ADCK3, COQ8, CABC1, SCAR9, ARCA2, COQ10D4
spinocerebellar ataxia type 5;SPTBN2, SCA5, SCAR14
spondyloarthropathy;HLA-B, SPDA1
spondylocostal dysostosis;TBX6, SCDO5, DLL3, SCDO1, MESP2, SCDO2, LFNG, SCDO3, HES7, SCDO4
spondyloepimetaphyseal dysplasia, Missouri type;MMP13, CLG3, MANDP1
spondyloepimetaphyseal dysplasia, Pakistani type;PAPSS2, ATPSK2, BCYM4
spondyloepimetaphyseal dysplasia, Strudwick type;COL2A1
spondyloepiphyseal dysplasia congenita;COL2A1
spondyloepiphyseal dysplasia with congenital joint dislocations;CHST3, C6ST, C6ST1, HSD
stomach cancer;CDH1, UVO, LCAM, ECAD, IL1B, IL1RN, MVCD4, DIRA, KRAS, KRAS2, RASK2, NS, CFC2, APC, GS, FPC, BTPS2, CASP10, MCH4, ALPS2, ERBB2, NGL, NEU, HER2, FGFR2, BEK, CFD1, JWS, TK14, BBDS, IRF1, MAR, KLF6, COPEB, BCD1, ZF9, MUTYH, MYH, PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5
striatonigral degeneration;NUP62, SNDI, IBSN, PDE8B, PPNAD3, ADSD
sudden infant death syndrome;SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2
supravalvular aortic stenosis;ELN
syndactyly;CUP2q35, C2DUPq35, SDTY1, SD1, GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, LMBR1, ACHP, C7orf2, PPD2, THYP, LSS, HOXD13, HOX4I, SPD, BDSD
syndromic X-linked intellectual disability;MECP2, RTT, PPMX, MRX16, MRX79, AUTSX3, MRXSL, MRXS13, MRX79, MRX16, HSD17B10, HADH2, ERAB, MRXS10, UPF3B, RENT3B, MRXS14, CLIC2, XAP121, MRXS32, AP1S2, MRX59, MRXSF, MRXS21, MRXS5, PGS
syndromic intellectual disability;OPHN1, MRX60, UBE2A, RAD6A, MRXSN, MRXS30, SMS, SRS, MRSR
synovial sarcoma;SSX1, SSRC, SSX2
synpolydactyly;HOXD13, HOX4I, SPD, BDSD, FBLN1
systemic lupus erythematosus;BANK1, FLJ20706, BANK, C4A, C4S, C4AD, CTLA4, IDDM12, CELIAC3, ALPS5, DNASE1, DNL1, FCGR2B, CD32, PTPN22, PEP, PTPN8, LYP, TREX1, AGS1, CRV, HERNS, ITGAM, CR3A, CD11B, MAC1A, SLEB6, DNASE1L3, SLEB16
systemic primary carnitine deficiency disease;SLC22A5, OCTN2, CDSP, SCD
tarsal-carpal coalition syndrome;NOG, SYM1, SYNS1
temtamy preaxial brachydactyly syndrome;CHSY1, KIAA0990, TPBS
testicular cancer;BCL10, IMD37, FGFR3, ACH, KIT, PBT, STK11, PJS, LKB1
testicular germ cell cancer;BCL10, IMD37, FGFR3, ACH, KIT, PBT, STK11, PJS, LKB1
tetralogy of Fallot;GATA4, ASD2, VSD1, TACHD, TOF, GATA6, AVSD5, ASD9, AVSD5, PACHD, GDF1, DTGA3, DORV, RAI, JAG1, AGS, AHD, NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2, TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR, ZFPM2, FOG2, DIH3, SRXY9
thalassemia;HBA1, HBH, HBA2, HBH
thanatophoric dysplasia;FGFR3, ACH, FGFR3, ACH
thiourea tasting;TAS2R38, T2R61, PTC
thoracic aortic aneurysm;MYH11, AAT4, FAA4, ACTA2, ACTSA, AAT6, MYMY5, MYLK, MLCK, AAT7, PRKG1, PRKG1B, PRKGR1B, AAT8
thrombocytopenia;ANKRD26, KIAA1074, THC2, MASTL, FLJ14813, GWL, THC2, GATA1, GF1, ERYF1, NFE1, XLTDA, XLTT, XLANP, WAS, IMD2, THC1, SCNX, CYCS, CYC, THC4
thrombocytopenia-absent radius syndrome;RBM8A, RBM8B, TAR, C1DELq21.1, DEL1q21.1
thrombophilia;F13A1, F13A, F2, THPH1, RPRGL2, HABP2, PHBP, HGFAL, FSAP, MTHFR
thyroid hormone resistance syndrome;THRB, ERBA2, THR1, PRTH, THRB, ERBA2, THR1, PRTH
tooth agenesis;MSX1, HOX7, HYD1, OFC5, STHAG1, ECTD3, WNT10A, SSPS, STHAG4, OODD, ED1, EDA, ECTD1, EDA, HED1, STHAGX1, PAX9, STHAG3, LTBP3, LTBP2, STHAG6
tooth and nail syndrome;MSX1, HOX7, HYD1, OFC5, STHAG1, ECTD3
transcobalamin II deficiency;TCN2, TC2
transthyretin amyloidosis;TTR, PALB
trichorhinophalangeal syndrome type I;TRPS1
trichotillomania;SLITRK1, KIAA1910, TTM
trilateral retinoblastoma;RB1
triosephosphate isomerase deficiency;TPI1, TPID
triple-A syndrome;AAAS, AAA
tuberous sclerosis;TSC1, LAM, IFNG, IFG, IFI, TSC2, LAM
type 1 diabetes mellitus;INS, MODY10, IDDM2, FOXP3, IPEX, AIID, XPID, PIDX, HNF1A, TCF1, MODY3, IDDM20, ITPR3, OAS1, OIAS, PTPN22, PEP, PTPN8, LYP, IL2RA, IL2R, IDDM10, HNF1A, TCF1, MODY3, IDDM20
type 2 diabetes mellitus;ABCC8, SUR, PHHI, SUR1, HHF1, TNDM2, AKT2, HIHGHH, CDKAL1, ENPP1, PDNP1, NPPS, M6S1, PCA1, ARHR2, COLED, GCGR, GCK, HHF3, GPD2, HMGA1, HMGIY, HNF1A, TCF1, MODY3, IDDM20, HNF1B, TCF2, HNF2, MODY5, FJHN, HPC11, HNF4A, TCF14, MODY1, FRTS4, IGF2BP2, IMP2, IL6, IFNB2, BSF2, HSF, HGF, IPF1, MODY4, PAGEN1, IRS1, IRS2, KCNJ11, BIR, PHHI, HHF2, TNDM3, LIPC, HL, LIPH, HDLCQ12, MAPK8IP1, IB1, MTNR1B, NEUROD1, NIDDM, NIDDM3, NIDDM4, PAX4, MODY9, KPD, PPARG, PPARG1, PPARG2, CIMT1, GLM1, PTPN1, PTP1B, RETN, RSTN, FIZZ3, SLC30A8, ZNT8, TCF7L2, TCF4, WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41
type I Ehlers-Danlos syndrome;COL1A1, COL5A1, COL5A2
type I complement component 8 deficiency;C8A
type II complement component 8 deficiency;C8B
type III Ehlers-Danlos syndrome;COL3A1, TNXB, TNX, TNXB1, TNXBS, TNXB2, EDS3, VUR8
type VI Ehlers-Danlos syndrome;PLOD1, LH1, LLH, EDS6, ZNF469, KIAA1858, BCS1
tyrosinemia type I;FAH
tyrosinemia type II;TAT
tyrosinemia type III;HPD
ulcerative colitis;IL6, IFNB2, BSF2, HSF, HGF, NOD2, CARD15, IBD1, CD, ACUG, PSORAS1
urinary bladder cancer;FGFR3, ACH, HRAS, KRAS, KRAS2, RASK2, NS, CFC2, RB1, TACC3
urofacial syndrome;HPSE2, HPA2, UFS1, LRIG2, LIG2, KIAA0806, UFS2
urticaria pigmentosa;KIT, PBT
uterine fibroid;HMGA2, HMGIC, BABL
variegate porphyria;HFE, HLA-H, HFE1, MVCD7, TFQTL2, PPOX
velocardiofacial syndrome;TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR
ventricular septal defect;GATA4, ASD2, VSD1, TACHD, TOF, CITED2, MRG1, P35SRJ, VSD2, ASD8, NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2
vesicoureteral reflux;ROBO2, SAX3, KIAA1568, SOX17, VUR3, HTR1A, ADRB2RL1, PFMCD, TNXB, TNX, TNXB1, TNXBS, TNXB2, EDS3, VUR8
visceral heterotaxy;ZIC3, HTX1, HTX, VACTERLX, CFC1, CRYPTIC, HTX2, DTGA2, ACVR2B, ACTRIIB, HTX4, CCDC11, HTX6
vitelliform macular dystrophy;BEST1, VMD2, ARB, RP50, PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1
von Hippel-Lindau disease;CCND1, PRAD1, BCL1, VHL
von Willebrand's disease;VWF, F8VWF, VWF, F8VWF, VWF, F8VWF
xanthinuria;XDH
xeroderma pigmentosum;XPA, XPAC, XPC, XPCC, ERCC2, EM9, XPD, COFS2, DDB2, POLH, XPV, ERCC4, XPF, FANCQ, ERCC5, XPG, COFS3, ERCC3, XPB
